,,P_orb,p_err,M_sini,m_err,M_Star,remark
J06548+332,GJ 251,14.238,0.002,4,0.4,0.392,
J08409-234,GJ 317,692,2,575,15.9,0.42,
J09144+526,GJ 338 B,24.45,0.02,10.3,1.4,0.605,
J10023+480,GJ 378,3.822,0.001,13.02,2.02,0.56,
J11033+359,Lalande 21185,12.946,0.005,2.7,0.3,0.452,
J11417+427,GJ 1148,41.38,0.002,96.7,1.4,0.381,
J11421+267,GJ 436,2.644,0.001,21.36,0.2,0.485,
J12123+544S,HD 238090,13.671,0.011,6.9,0.9,0.635,
J16167+672S,HD 147379,86.54,0.07,24.7,2.4,0.699,
J17364+683,GJ 687,38.14,0.015,18.394,2.167,0.432,
J17378+185,GJ 686,15.5311,0.0015,6.24,0.59,0.489,
J18409-133,GJ 724,5.1013,0.0009,10.05,3.71,0.527,candidate
J19169+051N,HD 180617,105.9,0.1,12.2,1.4,0.526,
J21164+025,LSPM J2116+0234,14.44,0.0078,13.3,1.1,0.402,
J21221+229,TYC 2187-512-1 ,694.86,11,108,6.36,0.498,
J22252+594,GJ 4276,13.352,0.003,16.57,0.95,0.385,
J22532-142,GJ 876,61.082,0.006,760.9,1,0.37,
J04429+189,HD 285968,8.776,0.001,9.1,1.5,0.504,other_survey
J04538-177,GJ 180,17.132,0.008,6.75,1.37,0.398,other_survey
J09360-216,GJ 357 ,9.1247,0.0011,3.4,0.46,0.342,other_survey
J14010-026,HD 122303,8.708,0.002,6.52,0.69,0.53,other_survey
J16581+257 ,GJ 649,598.3,4.2,104.2,10.2,0.54,other_survey
J17355+616,GJ 685,24.16,0.061,8.99,0.181,0.553,other_survey
J18353+457,GJ 720 A,19.47,0.001,13.64,0.791,0.597,other_survey
J18580+059,HD 176029,2.37756,0.00013,2.96,0.5,0.584,other_survey
